City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Moose Factory,CA,51.2585,-80.6094,-2.2,71,20,14.97,few clouds
180,Oistins,BB,13.0667,-59.5333,77.0,78,40,16.11,scattered clouds
181,Saint Anthony,US,45.0205,-93.218,37.0,60,1,9.22,clear sky
182,Svetlyy,RU,54.675,20.1347,37.4,87,75,6.71,broken clouds
183,Qaqortoq,GL,60.7167,-46.0333,39.2,26,75,27.63,broken clouds
184,Razdolnoye,RU,43.55,131.9167,19.4,79,20,2.24,few clouds
185,Beira,MZ,-19.8436,34.8389,84.2,84,20,9.22,moderate rain
186,San,ML,13.3034,-4.8956,79.79,16,0,11.41,clear sky
187,Canutama,BR,-6.5339,-64.3831,78.69,92,81,1.95,light rain
188,Cayenne,GF,4.9333,-52.3333,82.4,74,75,10.36,broken clouds
189,Arrifes,PT,37.7667,-25.7,63.0,100,75,18.41,mist
190,Murgab,TM,37.4966,61.9714,42.8,65,100,4.61,overcast clouds
191,Colares,PT,38.7992,-9.4469,57.99,88,75,14.97,broken clouds
192,Adrar,MR,20.5022,-10.0711,68.79,20,100,10.76,overcast clouds
193,Albion,US,42.2431,-84.753,23.0,68,40,10.36,scattered clouds
194,Inhambane,MZ,-23.865,35.3833,78.49,87,70,11.27,light rain
195,Vila Franca Do Campo,PT,37.7167,-25.4333,63.0,100,75,18.41,mist
196,Saint-Pierre,RE,-21.3393,55.4781,82.4,69,90,3.44,light rain
197,Benguela,AO,-12.5763,13.4055,76.1,74,30,7.58,scattered clouds
198,Natal,BR,-5.795,-35.2094,84.2,70,40,16.11,scattered clouds
199,Boa Vista,BR,2.8197,-60.6733,89.6,40,75,12.66,broken clouds
200,The Valley,AI,18.217,-63.0578,80.6,65,20,13.8,few clouds
201,Muisne,EC,0.6,-80.0333,80.6,89,75,11.5,light rain
202,Mangan,IN,27.5167,88.5333,49.75,48,75,4.0,broken clouds
203,Nargana,PA,9.4428,-78.5906,81.18,76,58,17.98,light rain
