City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Awjilah,LY,2021-01-19 22:18:17,29.1081,21.2869,49.87,62,0,10.13
148,Kargasok,RU,2021-01-19 22:18:17,59.0556,80.8572,-30.05,84,2,5.97
149,Luderitz,NA,2021-01-19 22:18:17,-26.6481,15.1594,70.3,64,0,24.94
150,Biltine,TD,2021-01-19 22:18:17,14.5333,20.9167,65.19,27,0,17.49
151,Inongo,CD,2021-01-19 22:18:17,-1.95,18.2667,73.51,91,62,4.21
152,Minab,IR,2021-01-19 22:18:17,27.1467,57.0801,59.0,88,0,6.91
153,Vila Velha,BR,2021-01-19 22:18:18,-20.3297,-40.2925,80.6,69,0,14.97
154,Touros,BR,2021-01-19 22:18:18,-5.1989,-35.4608,78.8,83,0,9.22
155,Lasa,IT,2021-01-19 22:18:18,46.6166,10.7002,28.0,86,0,3.44
156,Malinovoye Ozero,RU,2021-01-19 22:18:18,51.6753,79.7825,1.18,90,100,6.04
157,Walvis Bay,NA,2021-01-19 22:18:18,-22.9575,14.5053,66.0,82,89,3.44
158,Axim,GH,2021-01-19 22:18:19,4.8699,-2.2405,78.98,87,26,9.08
159,Bud,US,2021-01-19 22:18:19,39.447,-86.1758,39.0,48,90,8.05
160,Sao Pedro Do Sul,BR,2021-01-19 22:18:19,-29.6206,-54.1789,82.4,44,0,13.8
161,La Rochelle,FR,2021-01-19 22:18:19,46.1667,-1.15,46.4,81,0,16.11
162,Mogadishu,SO,2021-01-19 22:14:26,2.0371,45.3438,76.12,83,90,21.85
163,Blieskastel,DE,2021-01-19 22:18:19,49.2372,7.2562,37.99,69,0,11.5
164,Cuamba,MZ,2021-01-19 22:18:19,-14.8031,36.5372,71.8,93,100,1.74
165,Veraval,IN,2021-01-19 22:18:20,20.9,70.3667,68.5,38,0,8.84
166,Norilsk,RU,2021-01-19 22:18:20,69.3535,88.2027,-24.05,84,100,0.54
167,Uyuni,BO,2021-01-19 22:18:20,-20.4597,-66.825,61.86,35,56,3.49
168,Barranca,PE,2021-01-19 22:18:20,-10.75,-77.7667,73.6,74,14,8.23
169,Jammal,TN,2021-01-19 22:18:21,35.6223,10.757,50.0,81,8,8.05
170,Kulhudhuffushi,MV,2021-01-19 22:18:21,6.6221,73.07,80.91,65,7,4.23
171,Lipari,IT,2021-01-19 22:18:21,38.4674,14.954,46.99,53,0,5.99
172,Capaci,IT,2021-01-19 22:18:21,38.1711,13.2393,51.8,66,0,13.8
173,Ornskoldsvik,SE,2021-01-19 22:18:21,63.2909,18.7153,8.6,92,90,4.61
174,Karasjok,NO,2021-01-19 22:18:22,69.4719,25.5112,-0.4,85,0,4.61
175,Bell Ville,AR,2021-01-19 22:18:22,-32.6259,-62.6887,92.88,14,68,10.78
176,Toamasina,MG,2021-01-19 22:18:22,-18.1667,49.3833,82.4,94,75,13.8
177,Clarence Town,AU,2021-01-19 22:18:22,-32.5833,151.7833,70.0,60,90,9.22
178,Carnarvon,AU,2021-01-19 22:18:22,-24.8667,113.6333,77.0,88,75,14.97
179,Goderich,CA,2021-01-19 22:18:22,43.7501,-81.7165,28.4,64,100,17.27
180,Naryan-Mar,RU,2021-01-19 22:18:22,67.6713,53.087,-8.82,90,100,13.31
181,Havelock,US,2021-01-19 22:16:14,34.8791,-76.9013,53.01,50,1,10.36
182,Korcula,HR,2021-01-19 22:18:23,42.9622,17.1369,33.8,69,75,1.14
